0x000B864DCEBA5526: Be Honored with a Legacy Statue	→	Be Honoured with a Legacy Statue
0x0874DF778E4405A6: Have-It-All Entertainment Center	→	Have-It-All Entertainment Centre
0x087BA84164D42AC5: An inventor is nothing without {MA.his}{FA.her} Scrap. Your Sim wants to collect some Scrap.  Junk yards and trash cans are good places to look or your Sim could just detonate something nearby.	→	An inventor is nothing without {MA.his}{FA.her} Scrap. Your Sim wants to collect some Scrap. Junk yards and waste bins are good places to look or your Sim could just detonate something nearby.
0x088CB5F59FC9745B: {2.SimName} just decided to make a social call to the home of {1.SimName}. {MA.He}{FA.She} will always remember spending warm times with good neighbors!	→	{2.SimName} just decided to make a social call to the home of {1.SimName}. {MA.He}{FA.She} will always remember spending warm times with good neighbours!
0x089C11DF9EAFE040: This darling Reginald lamp is sure to become an instant classic in your living room. The style is named after a well-known lamp designer’s uncle Reginald, a tall and very thin man who had the habit of standing behind people’s sofas without making any noise for hours.	→	This darling Reginald lamp is sure to become an instant classic in your living room. The style is named after a well-known lamp designer’s uncle Reginald, a tall and very thin lad who had the habit of standing behind people’s sofas without making any noise for hours.
0x08A4302BCA5FB987: Anything worth doing requires a little dirt under the fingernails, at least if you’re a gardener. {0.SimFirstName} should be prepared to fertilize, weed, water, and talk to every plant she encounters. Go forth {0.SimFirstName}, with spade in hand! You now have some seeds in your inventory to plant!	→	Anything worth doing requires a little dirt under the fingernails, at least if you’re a gardener. {0.SimFirstName} should be prepared to Fertilise, weed, water, and talk to every plant she encounters. Go forth {0.SimFirstName}, with spade in hand! You now have some seeds in your inventory to plant!
0x08B5DA2B059F1F1E: Pumping iron is the fastest way to turn a Sim's body into a muscular machine. Your Sim wants to bulk up! Buy an exercise machine from the Buy Catalog.	→	Pumping iron is the fastest way to turn a Sim's body into a muscular machine. Your Sim wants to bulk up! Buy an exercise machine from the Buy Catalogue.
0x08E39C5D1AF1E8F6: Perform for Tips on the Pool Table	→	Perform for Tips on the Snooker Table
0x08F1C0B230033098: Play Pool With	→	Play Snooker With
0x0915334CC73D357F: The infiltration of the base was an utter and complete success! The military had no idea that it was you wreaking havoc, and they were finally forced to shut their entire system down. You set them back weeks and cost them millions - how diabolical! The Organization, in its delight, has decided to reward you with a cash bonus as well as a raise. It’s little surprise that your accomplices support you more than ever. It truly is a good time to be an evil, evil leader.	→	The infiltration of the base was an utter and complete success! The military had no idea that it was you wreaking havoc, and they were finally forced to shut their entire system down. You set them back weeks and cost them millions - how diabolical! The Organisation, in its delight, has decided to reward you with a cash bonus as well as a raise. It’s little surprise that your accomplices support you more than ever. It truly is a good time to be an evil, evil leader.
0x09178693FBA70108: Visit Fraternity	→	Visit Men's College
0x09575FC25C42584F: (From Show At Theatre)	→	(From Show At Cinema)
0x096CF709B6E863F8: Got on the Honor Roll	→	Got on the Honour Roll
0x096D03512FB835D5: Take advantage of the same technology upscale beauty salons have been using for years... the Revita-Lite. Its vitamin-A enriched filament radiates a skin-revitalizing glow that removes both wrinkles and liver spots before they happen.	→	Take advantage of the same technology upscale beauty salons have been using for years... the Revita-Lite. Its vitamin-A enriched filament radiates a skin-revitalising glow that removes both wrinkles and liver spots before they happen.
0x096D0F29B21426A5: Professional Sculptors work diligently on their craft and desire to make valuable masterpieces.  Whether in clay, wood, or stone, the professional Sculptor aims to finish each piece to perfection and move on to the next big thing.	→	Professional Sculptors work diligently on their craft and desire to make valuable masterpieces. Whether in clay, wood, or stone, the professional Sculptor aims to finish each piece to perfection and move on to the next big thing.
0x097C4F6324EB9B9F: My shirt has some mud on it, and I haven’t done laundry in months.  We need to get our own washer and dryer.  Could you build a room for them?	→	My shirt has some mud on it, and I haven’t done laundry in months. We need to get our own washer and dryer. Could you build a room for them?
0x09AD3D7DCFF4A99E: Only the most sneaky and mischievous Sim could pull so many pranks on their neighbors and loved ones. Such an achievement is a moment to remember!	→	Only the most sneaky and mischievous Sim could pull so many pranks on their neighbours and loved ones. Such an achievement is a moment to remember!
0x09E441653511F6DA: LGPL portions of WebKit are Copyright (C) 1997-2009 by Alex Mathews, Alexander Kellett, Alexey  Proskuryakov, Antti  Koivisto, Allan Sandfeld  Jensen, Alp Toker, Anders Carlsson, Andreas Schlapbach, Andrew Wellington, Antti Koivisto, Apple Inc, Bjoern Graf, Cameron Zwarich, Collabora Ltd, Cyrus Patel, Daniel Molkentin, David Faure, David Smith, Dirk Mueller, Dirk Schulze, Eric Seidel, Frederik Holljen, Free Software Foundation Inc, George Staikos, Germain  Garand, Graham Dennis, Gunnstein Lye, Harri Porten, Holger Hans Peter Freyther, Id Software Inc, James G Speth, Jon Shier, Julien Chaffraix, Lars Knoll, Maks Orlovich, Martin Jones, Michael Emmel, mozilla.org, Netscape Communications Corporation, Nicholas Shanks, Nikolas Zimmermann, Nokia Corporation, Oliver Hunt, Peter Kelly, Rob Buis, Sam Lantinga, Samuel Weinig, Stefan Schimanski, Simon Hausmann, Staikos Computing Services Inc, Stefan Schimanski, The Karbon Developers, Tobias Anton, Torben Weis, Torch Mobile Inc, Trolltech ASA, Xan  Lopez, Waldo Bastian, and Zack Rusin.	→	LGPL portions of WebKit are Copyright (C) 1997-2009 by Alex Mathews, Alexander Kellett, Alexey Proskuryakov, Antti Koivisto, Allan Sandfeld Jensen, Alp Toker, Anders Carlsson, Andreas Schlapbach, Andrew Wellington, Antti Koivisto, Apple Inc, Bjoern Graf, Cameron Zwarich, Collabora Ltd, Cyrus Patel, Daniel Molkentin, David Faure, David Smith, Dirk Mueller, Dirk Schulze, Eric Seidel, Frederik Holljen, Free Software Foundation Inc, George Staikos, Germain Garand, Graham Dennis, Gunnstein Lye, Harri Porten, Holger Hans Peter Freyther, Id Software Inc, James G Speth, Jon Shier, Julien Chaffraix, Lars Knoll, Maks Orlovich, Martin Jones, Michael Emmel, mozilla.org, Netscape Communications Corporation, Nicholas Shanks, Nikolas Zimmermann, Nokia Corporation, Oliver Hunt, Peter Kelly, Rob Buis, Sam Lantinga, Samuel Weinig, Stefan Schimanski, Simon Hausmann, Staikos Computing Services Inc, Stefan Schimanski, The Karbon Developers, Tobias Anton, Torben Weis, Torch Mobile Inc, Trolltech ASA, Xan Lopez, Waldo Bastian, and Zack Rusin.
0x0A0298032A384E09: The Dillinger Diggers Guild\nhereby recognizes\n{0.SimName}\nas having exceptional horticultural achievements and notable skills in the area of gardening.\n\nAwarded: {DateAndTime}, Witnessing Officer: D D Dillinger	→	The Dillinger Diggers Guild\nhereby recognises\n{0.SimName}\nas having exceptional horticultural achievements and notable skills in the area of gardening.\n\nAwarded: {DateAndTime}, Witnessing Officer: D D Dillinger
